"Year","Month","Day","site","mean_temp_c","max_temp_c","min_temp_c"
2002,6,23,"MOHK",16.5963,18.08,14.93
2002,6,23,"NAPL",15.4549,17.49,13.15
2002,6,24,"AQUE",16.4597,17.93,14.52
2002,6,24,"CARP",16.5429,18.14,14.88
2002,6,24,"MOHK",17.2722,18.53,15.66
2002,6,24,"NAPL",16.5031,17.76,14.52
2002,6,25,"AQUE",17.0834,18.02,15.9
2002,6,25,"CARP",16.25,17.78,14.88
2002,6,25,"MOHK",16.9945,17.96,14.93
2002,6,25,"NAPL",16.9469,17.84,14.61
2002,6,26,"AQUE",15.4499,17.49,13.73
2002,6,26,"CARP",16.1497,17.69,14.88
2002,6,26,"MOHK",16.3746,17.69,14.93
2002,6,26,"NAPL",15.6862,17.67,14.08
2002,6,27,"AQUE",15.8877,18.02,14.16
2002,6,27,"CARP",15.834,17.35,14.71
2002,6,27,"MOHK",16.2128,17.96,14.79
2002,6,27,"NAPL",15.5493,17.49,13.31
2002,6,28,"AQUE",17.1384,18.29,14.68
2002,6,28,"CARP",16.2473,17.08,14.62
2002,6,28,"MOHK",16.8192,17.96,15.23
2002,6,28,"NAPL",15.251,16.96,13.4
2002,6,29,"AQUE",16.5822,18.02,13.64
2002,6,29,"CARP",16.5256,17.7,15.14
2002,6,29,"MOHK",17.0264,17.87,15.66
2002,6,29,"NAPL",15.0072,16.61,13.57
2002,6,30,"AQUE",15.2024,16.61,13.64
2002,6,30,"CARP",16.8648,18.51,15.25
2002,6,30,"MOHK",16.918,17.64,15.23
2002,6,30,"NAPL",16.1799,17.67,13.66
2002,7,1,"AQUE",16.1173,17.41,13.91
2002,7,1,"CARP",17.4034,18.51,15.92
2002,7,1,"MOHK",17.4289,18.31,16.01
2002,7,1,"NAPL",16.4931,17.76,13.66
2002,7,2,"AQUE",15.8362,17.84,13.82
2002,7,2,"CARP",17.4176,18.68,16.01
2002,7,2,"MOHK",17.5264,18.49,16.76
2002,7,2,"NAPL",16.4443,18.02,15.21
2002,7,3,"AQUE",16.2468,17.32,15.38
2002,7,3,"CARP",16.3677,18.42,14.56
2002,7,3,"MOHK",17.22,17.87,16.27
2002,7,3,"NAPL",16.1905,17.05,14.87
2002,7,4,"AQUE",15.8086,16.61,14.77
2002,7,4,"CARP",16.3225,17.17,14.88
2002,7,4,"MOHK",16.307,17.21,15.58
2002,7,4,"NAPL",16.0867,16.78,14.61
2002,7,5,"AQUE",14.6343,15.9,14.08
2002,7,5,"CARP",16.9079,17.7,16.09
2002,7,5,"MOHK",16.659,17.25,16.01
2002,7,5,"NAPL",15.8241,16.78,14.34
2002,7,6,"AQUE",15.6333,16.79,14.42
2002,7,6,"CARP",16.765,17.79,15.75
2002,7,6,"MOHK",16.4826,17.21,15.06
2002,7,6,"NAPL",16.1031,17.22,14.34
2002,7,7,"AQUE",16.2426,16.88,15.12
2002,7,7,"CARP",17.2045,18.06,16.27
2002,7,7,"MOHK",16.7724,17.99,15.58
2002,7,7,"NAPL",16.0195,17.13,14.61
2002,7,8,"AQUE",17.0164,18.02,15.12
2002,7,8,"CARP",18.012,18.59,17.43
2002,7,8,"MOHK",17.7024,18.62,16.09
2002,7,8,"NAPL",17.1452,17.84,14.95
2002,7,9,"AQUE",17.64,18.11,16.43
2002,7,9,"CARP",18.2563,18.77,17.69
2002,7,9,"MOHK",17.9441,18.58,16.89
2002,7,9,"NAPL",17.5124,18.2,15.82
2002,7,10,"AQUE",17.7327,18.38,16.61
2002,7,10,"CARP",18.2415,18.95,17.61
2002,7,10,"MOHK",18.1623,18.76,17.6
2002,7,10,"NAPL",17.3571,18.29,15.13
2002,7,11,"AQUE",16.9989,18.29,15.21
2002,7,11,"CARP",18.5902,19.39,17.78
2002,7,11,"MOHK",18.1934,18.98,16.89
2002,7,11,"NAPL",17.7773,18.29,16.43
2002,7,12,"AQUE",17.348,18.11,16.34
2002,7,12,"CARP",19.0573,19.84,18.4
2002,7,12,"MOHK",17.4309,18.53,13.84
2002,7,12,"NAPL",17.1791,18.73,15.48
2002,7,13,"AQUE",16.7296,17.76,15.12
2002,7,13,"CARP",18.1563,19.57,15.49
2002,7,13,"MOHK",16.628,18.13,14.01
2002,7,13,"NAPL",16.5805,18.37,13.66
2002,7,14,"AQUE",16.866,18.11,15.38
2002,7,14,"CARP",16.7183,18.42,15.23
2002,7,14,"MOHK",16.9371,18.17,14.32
2002,7,14,"NAPL",16.3005,17.76,13.74
2002,7,15,"AQUE",16.0157,17.41,13.99
2002,7,15,"CARP",17.1,18.95,14.88
2002,7,15,"MOHK",17.003,18.44,14.88
2002,7,15,"NAPL",15.9494,17.31,14.61
2002,7,16,"AQUE",15.915,17.32,14.42
2002,7,16,"CARP",16.8034,17.88,15.58
2002,7,16,"MOHK",17.5151,18.8,15.58
2002,7,16,"NAPL",16.0564,17.4,14.61
2002,7,17,"AQUE",15.9802,17.76,14.86
2002,7,17,"CARP",17.0355,18.51,15.92
2002,7,17,"MOHK",16.9242,18.53,15.66
2002,7,17,"NAPL",16.0056,17.58,14.34
2002,7,18,"AQUE",16.2825,17.67,14.6
2002,7,18,"CARP",16.8078,18.32,15.58
2002,7,18,"MOHK",16.197,17.12,15.41
2002,7,18,"NAPL",16.5778,18.11,14.69
2002,7,19,"AQUE",16.5566,17.93,14.86
2002,7,19,"CARP",16.9251,17.88,15.75
